"","cause.numeric","cause.group","cause.sub"
"378",9040,"Intentional","Other external causes of accidental injury"
"506",9500,"Intentional","Intentional self-harm"
"507",9501,"Intentional","Intentional self-harm"
"508",9502,"Intentional","Intentional self-harm"
"509",9503,"Intentional","Intentional self-harm"
"510",9504,"Intentional","Intentional self-harm"
"511",9505,"Intentional","Intentional self-harm"
"512",9506,"Intentional","Intentional self-harm"
"513",9507,"Intentional","Intentional self-harm"
"514",9508,"Intentional","Intentional self-harm"
"515",9509,"Intentional","Intentional self-harm"
"516",9510,"Intentional","Intentional self-harm"
"517",9511,"Intentional","Intentional self-harm"
"518",9518,"Intentional","Intentional self-harm"
"519",9520,"Intentional","Intentional self-harm"
"520",9521,"Intentional","Intentional self-harm"
"521",9528,"Intentional","Intentional self-harm"
"522",9529,"Intentional","Intentional self-harm"
"523",9530,"Intentional","Intentional self-harm"
"524",9531,"Intentional","Intentional self-harm"
"525",9538,"Intentional","Intentional self-harm"
"526",9539,"Intentional","Intentional self-harm"
"527",9540,"Intentional","Intentional self-harm"
"528",9550,"Intentional","Intentional self-harm"
"529",9551,"Intentional","Intentional self-harm"
"530",9552,"Intentional","Intentional self-harm"
"531",9553,"Intentional","Intentional self-harm"
"532",9554,"Intentional","Intentional self-harm"
"533",9555,"Intentional","Intentional self-harm"
"534",9559,"Intentional","Intentional self-harm"
"535",9560,"Intentional","Intentional self-harm"
"536",9570,"Intentional","Intentional self-harm"
"537",9571,"Intentional","Intentional self-harm"
"538",9572,"Intentional","Intentional self-harm"
"539",9579,"Intentional","Intentional self-harm"
"540",9580,"Intentional","Intentional self-harm"
"541",9581,"Intentional","Intentional self-harm"
"542",9582,"Intentional","Intentional self-harm"
"543",9583,"Intentional","Intentional self-harm"
"544",9584,"Intentional","Intentional self-harm"
"545",9585,"Intentional","Intentional self-harm"
"546",9586,"Intentional","Intentional self-harm"
"547",9588,"Intentional","Intentional self-harm"
"548",9589,"Intentional","Intentional self-harm"
"549",9590,"Intentional","Intentional self-harm"
"550",9600,"Intentional","Assault"
"551",9601,"Intentional","Assault"
"552",9610,"Intentional","Assault"
"553",9620,"Intentional","Assault"
"554",9621,"Intentional","Assault"
"555",9622,"Intentional","Assault"
"556",9630,"Intentional","Assault"
"557",9640,"Intentional","Assault"
"558",9650,"Intentional","Assault"
"559",9651,"Intentional","Assault"
"560",9652,"Intentional","Assault"
"561",9653,"Intentional","Assault"
"562",9654,"Intentional","Assault"
"563",9655,"Intentional","Assault"
"564",9658,"Intentional","Assault"
"565",9659,"Intentional","Assault"
"566",9660,"Intentional","Assault"
"567",9670,"Intentional","Assault"
"568",9671,"Intentional","Assault"
"569",9679,"Intentional","Assault"
"570",9680,"Intentional","Assault"
"571",9681,"Intentional","Assault"
"572",9682,"Intentional","Assault"
"573",9683,"Intentional","Assault"
"574",9684,"Intentional","Assault"
"575",9688,"Intentional","Assault"
"576",9689,"Intentional","Assault"
"577",9690,"Intentional","Assault"
"578",9700,"Intentional","Legal intervention and operations of war"
"579",9720,"Intentional","Legal intervention and operations of war"
"580",9750,"Intentional","Legal intervention and operations of war"
"581",9760,"Intentional","Legal intervention and operations of war"
"582",9770,"Intentional","Legal intervention and operations of war"
"622",9919,"Intentional","Legal intervention and operations of war"
"623",9990,"Intentional","Legal intervention and operations of war"
"1",8000,"Unintentional","Transport accidents"
"2",8013,"Unintentional","Transport accidents"
"3",8019,"Unintentional","Transport accidents"
"4",8020,"Unintentional","Transport accidents"
"5",8028,"Unintentional","Transport accidents"
"6",8039,"Unintentional","Transport accidents"
"7",8040,"Unintentional","Transport accidents"
"8",8041,"Unintentional","Transport accidents"
"9",8048,"Unintentional","Transport accidents"
"10",8049,"Unintentional","Transport accidents"
"11",8050,"Unintentional","Transport accidents"
"12",8052,"Unintentional","Transport accidents"
"13",8053,"Unintentional","Transport accidents"
"14",8058,"Unintentional","Transport accidents"
"15",8059,"Unintentional","Transport accidents"
"16",8060,"Unintentional","Transport accidents"
"17",8062,"Unintentional","Transport accidents"
"18",8068,"Unintentional","Transport accidents"
"19",8069,"Unintentional","Transport accidents"
"20",8070,"Unintentional","Transport accidents"
"21",8079,"Unintentional","Transport accidents"
"22",8100,"Unintentional","Transport accidents"
"23",8101,"Unintentional","Transport accidents"
"24",8102,"Unintentional","Transport accidents"
"25",8103,"Unintentional","Transport accidents"
"26",8106,"Unintentional","Transport accidents"
"27",8107,"Unintentional","Transport accidents"
"28",8109,"Unintentional","Transport accidents"
"29",8110,"Unintentional","Transport accidents"
"30",8111,"Unintentional","Transport accidents"
"31",8112,"Unintentional","Transport accidents"
"32",8113,"Unintentional","Transport accidents"
"33",8119,"Unintentional","Transport accidents"
"34",8120,"Unintentional","Transport accidents"
"35",8121,"Unintentional","Transport accidents"
"36",8122,"Unintentional","Transport accidents"
"37",8123,"Unintentional","Transport accidents"
"38",8127,"Unintentional","Transport accidents"
"39",8128,"Unintentional","Transport accidents"
"40",8129,"Unintentional","Transport accidents"
"41",8130,"Unintentional","Transport accidents"
"42",8132,"Unintentional","Transport accidents"
"43",8135,"Unintentional","Transport accidents"
"44",8136,"Unintentional","Transport accidents"
"45",8137,"Unintentional","Transport accidents"
"46",8138,"Unintentional","Transport accidents"
"47",8139,"Unintentional","Transport accidents"
"48",8140,"Unintentional","Transport accidents"
"49",8141,"Unintentional","Transport accidents"
"50",8142,"Unintentional","Transport accidents"
"51",8143,"Unintentional","Transport accidents"
"52",8145,"Unintentional","Transport accidents"
"53",8147,"Unintentional","Transport accidents"
"54",8149,"Unintentional","Transport accidents"
"55",8150,"Unintentional","Transport accidents"
"56",8151,"Unintentional","Transport accidents"
"57",8152,"Unintentional","Transport accidents"
"58",8153,"Unintentional","Transport accidents"
"59",8157,"Unintentional","Transport accidents"
"60",8158,"Unintentional","Transport accidents"
"61",8159,"Unintentional","Transport accidents"
"62",8160,"Unintentional","Transport accidents"
"63",8161,"Unintentional","Transport accidents"
"64",8162,"Unintentional","Transport accidents"
"65",8163,"Unintentional","Transport accidents"
"66",8167,"Unintentional","Transport accidents"
"67",8168,"Unintentional","Transport accidents"
"68",8169,"Unintentional","Transport accidents"
"69",8171,"Unintentional","Transport accidents"
"70",8179,"Unintentional","Transport accidents"
"71",8180,"Unintentional","Transport accidents"
"72",8181,"Unintentional","Transport accidents"
"73",8182,"Unintentional","Transport accidents"
"74",8183,"Unintentional","Transport accidents"
"75",8187,"Unintentional","Transport accidents"
"76",8188,"Unintentional","Transport accidents"
"77",8189,"Unintentional","Transport accidents"
"78",8190,"Unintentional","Transport accidents"
"79",8191,"Unintentional","Transport accidents"
"80",8192,"Unintentional","Transport accidents"
"81",8193,"Unintentional","Transport accidents"
"82",8197,"Unintentional","Transport accidents"
"83",8199,"Unintentional","Transport accidents"
"84",8200,"Unintentional","Transport accidents"
"85",8201,"Unintentional","Transport accidents"
"86",8207,"Unintentional","Transport accidents"
"87",8208,"Unintentional","Transport accidents"
"88",8209,"Unintentional","Transport accidents"
"89",8210,"Unintentional","Transport accidents"
"90",8211,"Unintentional","Transport accidents"
"91",8212,"Unintentional","Transport accidents"
"92",8215,"Unintentional","Transport accidents"
"93",8217,"Unintentional","Transport accidents"
"94",8218,"Unintentional","Transport accidents"
"95",8219,"Unintentional","Transport accidents"
"96",8220,"Unintentional","Transport accidents"
"97",8221,"Unintentional","Transport accidents"
"98",8222,"Unintentional","Transport accidents"
"99",8223,"Unintentional","Transport accidents"
"100",8226,"Unintentional","Transport accidents"
"101",8227,"Unintentional","Transport accidents"
"102",8228,"Unintentional","Transport accidents"
"103",8229,"Unintentional","Transport accidents"
"104",8230,"Unintentional","Transport accidents"
"105",8231,"Unintentional","Transport accidents"
"106",8232,"Unintentional","Transport accidents"
